86 4
k power error
4.75743e-02 3.81449e+03 3.31825e+03
5.25712e-02 5.98348e+02 2.91919e+03
5.75864e-02 2.75544e+03 2.48841e+03
6.25734e-02 2.06165e+03 2.48033e+03
6.75683e-02 2.29910e+03 2.03714e+03
7.25645e-02 1.17225e+03 1.63241e+03
7.75554e-02 3.28673e+01 1.33362e+03
8.25464e-02 -1.54354e+03 1.34595e+03
8.75343e-02 -4.02095e+03 1.22875e+03
9.25356e-02 -2.66208e+03 9.98706e+02
9.75405e-02 -9.27891e+02 8.10422e+02
1.02544e-01 -8.54940e+02 7.18780e+02
1.07540e-01 3.12692e+02 6.61516e+02
1.12535e-01 3.69837e+01 6.36147e+02
1.17530e-01 5.44198e+02 5.50578e+02
1.22543e-01 8.22111e+02 5.44860e+02
1.27538e-01 3.92069e+02 5.62317e+02
1.32536e-01 1.57535e+02 4.96929e+02
1.37523e-01 -8.54397e+01 4.17433e+02
1.42525e-01 3.47823e+02 4.28948e+02
1.47532e-01 -7.99112e+00 3.91733e+02
1.52533e-01 -2.81976e+02 3.80892e+02
1.57537e-01 2.53334e+02 3.56867e+02
1.62532e-01 4.51064e+02 2.87724e+02
1.67531e-01 2.14389e+02 2.68218e+02
1.72524e-01 -2.78561e+01 2.93572e+02
1.77517e-01 2.34359e+02 2.30832e+02
1.82517e-01 1.57206e+02 2.19783e+02
1.87522e-01 4.76274e+02 2.13620e+02
1.92519e-01 3.48967e+02 2.20385e+02
1.97519e-01 8.41423e+01 2.20889e+02
2.02520e-01 1.55636e+02 1.82963e+02
2.07522e-01 1.63463e+02 1.78708e+02
2.12522e-01 5.63342e+02 1.50678e+02
2.17518e-01 3.17413e+02 1.87183e+02
2.22519e-01 4.55241e+02 1.76886e+02
2.27516e-01 4.47645e+02 1.59462e+02
2.32517e-01 4.59522e+02 1.50962e+02
2.37520e-01 6.05508e+02 1.54038e+02
2.42520e-01 4.95746e+02 1.48760e+02
2.47515e-01 3.08309e+02 1.20731e+02
2.52518e-01 3.45777e+02 1.26566e+02
2.57518e-01 3.65470e+02 1.23218e+02
2.62516e-01 3.96501e+02 1.08353e+02
2.67512e-01 3.11423e+02 1.28706e+02
2.72512e-01 2.27334e+02 1.25615e+02
2.77513e-01 4.20180e+02 1.00667e+02
2.82512e-01 3.27325e+02 1.06495e+02
2.87513e-01 2.73389e+02 9.44982e+01
2.92512e-01 2.98758e+02 8.58317e+01
2.97515e-01 4.01226e+02 8.79510e+01
3.02515e-01 2.24310e+02 8.88451e+01
3.07516e-01 1.25273e+02 9.66340e+01
3.12512e-01 2.59776e+02 1.02413e+02
3.17511e-01 4.91140e+02 9.05912e+01
3.22515e-01 4.04908e+02 8.27410e+01
3.27517e-01 4.01629e+02 8.19902e+01
3.32514e-01 3.60057e+02 7.97830e+01
3.37512e-01 2.68810e+02 8.08664e+01
3.42512e-01 3.68999e+02 7.96949e+01
3.47513e-01 4.24440e+02 7.34516e+01
3.52511e-01 4.32440e+02 7.53705e+01
3.57509e-01 2.94193e+02 7.64150e+01
3.62509e-01 3.76851e+02 6.17885e+01
3.67510e-01 4.32550e+02 6.95420e+01
3.72513e-01 4.25067e+02 6.70524e+01
3.77514e-01 4.38589e+02 6.07788e+01
3.82513e-01 4.35092e+02 6.30537e+01
3.87509e-01 3.56647e+02 6.43361e+01
3.92511e-01 3.36316e+02 6.24923e+01
3.97511e-01 4.13057e+02 6.15394e+01
4.02510e-01 4.48376e+02 6.88103e+01
4.07508e-01 3.37960e+02 5.75140e+01
4.12511e-01 3.39759e+02 6.02523e+01
4.17514e-01 3.16342e+02 5.59723e+01
4.22513e-01 3.80627e+02 5.14546e+01
4.27512e-01 3.82912e+02 4.94358e+01
4.32510e-01 3.71849e+02 5.82601e+01
4.37511e-01 3.81484e+02 5.20131e+01
4.42509e-01 3.65574e+02 5.44391e+01
4.47507e-01 3.64052e+02 5.43986e+01
2.26936e-02 -8.68514e+03 1.20649e+04
2.76670e-02 -7.40117e+03 9.11432e+03
3.26280e-02 -8.09769e+03 6.90771e+03
3.75931e-02 1.34536e+03 5.98934e+03
4.25791e-02 4.27415e+03 4.85394e+03
4.75743e-02 -2.74026e+03 3.98728e+03
5.25712e-02 -5.61566e+03 3.43806e+03
5.75864e-02 -5.34594e+03 2.93210e+03
6.25734e-02 -2.11236e+03 2.49639e+03
6.75683e-02 -4.72754e+02 2.09015e+03
7.25645e-02 2.56655e+02 1.87171e+03
7.75554e-02 -1.02710e+03 1.88241e+03
8.25464e-02 -7.21818e+02 1.47272e+03
8.75343e-02 -1.05423e+02 1.21046e+03
9.25356e-02 1.14019e+02 1.01190e+03
9.75405e-02 1.29986e+03 9.16499e+02
1.02544e-01 1.20436e+03 9.21460e+02
1.07540e-01 -3.42979e+02 8.88482e+02
1.12535e-01 5.03459e+02 8.02762e+02
1.17530e-01 9.82452e+01 6.47179e+02
1.22543e-01 4.31093e+02 6.44110e+02
1.27538e-01 7.35058e+02 5.54437e+02
1.32536e-01 9.34224e+01 5.91340e+02
1.37523e-01 -6.04526e+01 4.73305e+02
1.42525e-01 -1.40533e+02 4.89529e+02
1.47532e-01 5.83547e+02 4.49665e+02
1.52533e-01 1.05819e+03 4.26273e+02
1.57537e-01 3.23541e+02 3.31083e+02
1.62532e-01 -3.51484e+02 3.53264e+02
1.67531e-01 -3.44487e+02 3.36078e+02
1.72524e-01 -2.73363e+02 2.82914e+02
1.77517e-01 -4.40346e+01 2.67787e+02
1.82517e-01 4.32241e+02 2.80233e+02
1.87522e-01 2.06507e+02 2.70209e+02
1.92519e-01 1.27010e+02 2.50898e+02
1.97519e-01 -1.54867e+02 2.51196e+02
2.02520e-01 -3.39085e+02 2.25612e+02
2.07522e-01 -2.02342e+02 2.10082e+02
2.12522e-01 5.91197e+01 2.11007e+02
2.17518e-01 -2.54736e+02 2.22642e+02
2.22519e-01 -2.19665e+02 1.94768e+02
2.27516e-01 4.31442e+01 1.74212e+02
2.32517e-01 1.34062e+01 1.76539e+02
2.37520e-01 -3.66309e+02 1.91776e+02
2.42520e-01 -3.14556e+02 1.50458e+02
2.47515e-01 7.51670e+01 1.58333e+02
2.52518e-01 1.75210e+01 1.48916e+02
2.57518e-01 1.44954e+02 1.47410e+02
2.62516e-01 -1.18395e+02 1.39386e+02
2.67512e-01 8.01281e+00 1.26813e+02
2.72512e-01 1.31961e+02 1.27883e+02
2.77513e-01 2.37793e+01 1.17818e+02
2.82512e-01 -5.39722e+01 1.20342e+02
2.87513e-01 -2.65033e+02 1.09522e+02
2.92512e-01 -2.97961e+02 1.02983e+02
2.97515e-01 -1.95719e+01 1.00649e+02
3.02515e-01 2.15405e+01 9.99817e+01
3.07516e-01 -1.79200e+02 1.07161e+02
3.12512e-01 -2.00837e+01 1.04914e+02
3.17511e-01 8.36643e-01 9.04906e+01
3.22515e-01 -4.22038e+01 8.95316e+01
3.27517e-01 -1.35055e+02 9.19436e+01
3.32514e-01 -1.36762e+02 8.93211e+01
3.37512e-01 -1.43363e+02 8.53449e+01
3.42512e-01 -9.81929e+01 8.56213e+01
3.47513e-01 -2.45737e+01 8.67910e+01
3.52511e-01 -3.58823e+00 8.94078e+01
3.57509e-01 -3.25811e+01 8.26075e+01
3.62509e-01 -2.49339e+01 8.98019e+01
3.67510e-01 -8.33263e+01 8.66599e+01
3.72513e-01 -1.78061e+02 6.64853e+01
3.77514e-01 -8.38210e+01 7.31585e+01
3.82513e-01 -7.76142e+00 7.88775e+01
3.87509e-01 -1.43267e+02 6.88360e+01
3.92511e-01 -1.41407e+02 6.70069e+01
3.97511e-01 -2.45720e+02 7.94489e+01
4.02510e-01 -2.22584e+02 7.02283e+01
4.07508e-01 -1.16238e+02 6.67111e+01
4.12511e-01 -1.41095e+02 6.57443e+01
4.17514e-01 -1.84591e+02 5.95414e+01
4.22513e-01 -1.31915e+02 5.74347e+01
4.27512e-01 -1.38324e+02 5.81768e+01
4.32510e-01 -8.89560e+01 5.77897e+01
4.37511e-01 -3.69077e+01 6.00416e+01
4.42509e-01 -8.59128e+01 5.67505e+01
4.47507e-01 -5.36134e+01 6.11249e+01
